date,rvs.amsix,rvs.bdix,rvs.bknix,rvs.chicago,rvs.chile,rvs.eqix,rvs.flix,rvs.fortaleza,rvs.gixa,rvs.gorex,rvs.isc,rvs.jinx,rvs.kixp,rvs.linx,rvs.mwix,rvs.napafrica,rvs.nwax,rvs.ny,rvs.perth,rvs.peru,rvs.phoix,rvs.rio,rvs.saopaulo,rvs.saopaulo2,rvs.seix,rvs.sfmix,rvs.sg,rvs.soxrs,rvs.sydney,rvs.telxatl,rvs.uaeix,rvs.wide,rvs2,rvs3,rvs4,rvs6
2012-01-31,0.0,0.0,0.0,0.0,0.0,130538310.0,0.0,0.0,0.0,0.0,106584539.0,0.0,264735.0,336825142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174684658.0,0.0,0.0,0.0,0.0,0.0,72845250.0,0.0,0.0,10808953.0,374384710.0,0.0,183887349.0,7760936.0
2012-07-31,0.0,0.0,0.0,0.0,0.0,1064320495.0,0.0,0.0,0.0,0.0,646045976.0,43861.0,2300997.0,1949777472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389318864.0,0.0,0.0,0.0,0.0,0.0,403288386.0,190185994.0,0.0,62156849.0,10189706569.0,0.0,1049609060.0,84284813.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,1640485092.0,0.0,0.0,0.0,0.0,978607677.0,123381042.0,3590896.0,2199888848.0,0.0,0.0,0.0,0.0,853926.0,0.0,0.0,0.0,1222934720.0,0.0,0.0,0.0,0.0,0.0,384535199.0,397627163.0,0.0,72207727.0,2422774727.0,0.0,1167526600.0,100481287.0
2013-07-31,0.0,0.0,0.0,0.0,0.0,2320943945.0,0.0,0.0,0.0,0.0,1162608122.0,282979522.0,2720318.0,2818949080.0,0.0,0.0,0.0,0.0,730884.0,0.0,0.0,0.0,1565131402.0,0.0,0.0,0.0,0.0,0.0,369181452.0,566239673.0,0.0,81237222.0,2373004080.0,0.0,1658150639.0,92707740.0
2014-01-31,0.0,0.0,0.0,0.0,0.0,2981783910.0,0.0,0.0,0.0,0.0,1209696219.0,100216898.0,8928346.0,2862417504.0,0.0,0.0,0.0,0.0,1974776.0,0.0,0.0,0.0,2124452059.0,0.0,0.0,0.0,0.0,2736314.0,343337552.0,741530188.0,0.0,71825995.0,2293060070.0,1282170842.0,2910354172.0,118217507.0
2014-07-31,0.0,0.0,0.0,0.0,0.0,1876386431.0,0.0,0.0,0.0,0.0,3146433964.0,89668055.0,3300860.0,3167857980.0,0.0,0.0,313210547.0,0.0,1521400.0,0.0,0.0,0.0,2697164194.0,0.0,0.0,0.0,72564003.0,77244888.0,786665812.0,864413356.0,0.0,81828816.0,2912354534.0,2137758160.0,2305337746.0,124887527.0
2015-01-31,0.0,0.0,0.0,0.0,0.0,2800897886.0,0.0,0.0,0.0,0.0,1210003383.0,69690257.0,2875824.0,4245304673.0,0.0,0.0,378126746.0,0.0,1435832.0,0.0,0.0,0.0,3077894766.0,0.0,0.0,0.0,333913926.0,9825415.0,703647644.0,1289104926.0,0.0,96812646.0,3725960396.0,1698972011.0,2343812091.0,333650631.0
2015-07-31,0.0,0.0,0.0,0.0,0.0,1274538032.0,0.0,0.0,0.0,0.0,1147804264.0,67987195.0,9775176.0,4908361351.0,0.0,0.0,391451458.0,0.0,82186596.0,0.0,0.0,0.0,1978900540.0,0.0,0.0,111675140.0,428444278.0,23423580.0,765903560.0,1095013153.0,0.0,125074263.0,4812307655.0,1952316192.0,4028425219.0,444452201.0
2016-01-31,0.0,0.0,0.0,0.0,0.0,3741553686.0,0.0,0.0,0.0,0.0,1172452352.0,112844995.0,2142153.0,4720116837.0,0.0,0.0,470872838.0,0.0,91503126.0,0.0,0.0,0.0,2803665545.0,0.0,0.0,178216819.0,575137442.0,20241117.0,940756102.0,1330419739.0,0.0,131115680.0,5672172544.0,1971516990.0,3568435353.0,567662588.0
2016-07-31,0.0,0.0,0.0,107988433.0,0.0,8044348533.0,0.0,0.0,0.0,0.0,948522986.0,129764565.0,3658316.0,13207519565.0,0.0,0.0,531294962.0,0.0,199020085.0,0.0,0.0,0.0,3942187209.0,0.0,0.0,264706426.0,961273379.0,47363871.0,1463073232.0,1587879427.0,0.0,141255957.0,5999804056.0,2241127602.0,5242223166.0,3868524362.0
2017-01-31,0.0,0.0,0.0,805262148.0,0.0,8719312883.0,0.0,0.0,0.0,0.0,1252733105.0,135173724.0,7987181.0,14091303565.0,0.0,0.0,771257783.0,0.0,360382651.0,0.0,0.0,0.0,3450836974.0,0.0,0.0,356543663.0,1175173158.0,29677929.0,1345307801.0,1551639641.0,0.0,172559826.0,7125029138.0,2708512661.0,7889638805.0,2823066098.0
2017-07-31,0.0,0.0,0.0,843316824.0,0.0,7917644868.0,0.0,0.0,0.0,0.0,1527656999.0,120843189.0,8328818.0,9839480394.0,0.0,0.0,861112004.0,0.0,264249563.0,0.0,0.0,0.0,4870422103.0,0.0,0.0,475090606.0,1004712324.0,50803604.0,2420817565.0,1961987523.0,0.0,149596439.0,7477955322.0,3034305496.0,7121040127.0,3430957463.0
2018-01-31,0.0,0.0,0.0,969641370.0,0.0,9602597141.0,538.0,0.0,0.0,0.0,1381881403.0,205044001.0,24937012.0,22068453045.0,0.0,0.0,983554058.0,0.0,136891559.0,0.0,0.0,0.0,6560915817.0,0.0,0.0,551930311.0,1276985004.0,39067895.0,1710305115.0,7747682963.0,0.0,173935666.0,9231825613.0,2743717359.0,7465927649.0,2972979789.0
2018-07-31,0.0,0.0,0.0,1355380438.0,199262709.0,3993464638.0,176528642.0,0.0,0.0,0.0,755539686.0,263166859.0,44180085.0,14773668018.0,0.0,574673649.0,651653810.0,0.0,125843009.0,0.0,0.0,0.0,7521520025.0,760313122.0,0.0,524814325.0,2692801504.0,118427988.0,1653100165.0,1036091806.0,0.0,164079120.0,10007279091.0,3124794909.0,4446064973.0,1924230832.0
2019-01-31,0.0,0.0,0.0,1379668096.0,205441759.0,2759223103.0,1030817227.0,0.0,0.0,0.0,1141388341.0,315291586.0,27395229.0,30080973657.0,0.0,2845717806.0,822506742.0,0.0,57993173.0,0.0,0.0,0.0,12782368559.0,5080609445.0,0.0,709938093.0,2111661504.0,59783216.0,2215882340.0,1083689249.0,0.0,196311744.0,7464953109.0,6197047029.0,5796744682.0,1639914503.0
2019-07-31,1069014730.0,0.0,0.0,1185836481.0,261816044.0,4027893991.0,1188039472.0,136711806.0,0.0,0.0,1278149587.0,1226284764.0,318905756.0,50421968251.0,0.0,16966155792.0,1804494187.0,0.0,144329349.0,0.0,0.0,129842413.0,3322621291.0,7127909019.0,0.0,393862300.0,2740185572.0,67602371.0,2051527897.0,1071160247.0,0.0,200277428.0,6928178707.0,6797661017.0,4191458618.0,858488386.0
2020-01-31,8176461170.0,0.0,0.0,1627268244.0,106583233.0,6313223809.0,1164400918.0,1297743305.0,0.0,49906.0,1254216477.0,17967059.0,440836252.0,35585957388.0,0.0,6131083075.0,1292213280.0,0.0,263296903.0,0.0,0.0,3092807972.0,3154429151.0,13959346750.0,0.0,528648328.0,5433828110.0,90805826.0,1867289619.0,1393742110.0,0.0,211498567.0,8440112316.0,19072364855.0,6496345722.0,3027604525.0
2020-07-31,13317132617.0,0.0,0.0,4301480378.0,146196741.0,4605642370.0,1238786070.0,1193506390.0,0.0,1640000.0,1248221621.0,0.0,558300863.0,13924416845.0,8.0,3827717025.0,853589702.0,0.0,545647923.0,0.0,0.0,1723740071.0,3186738346.0,7293009418.0,0.0,712931340.0,3936956600.0,99335436.0,2007395053.0,1865910232.0,0.0,196494835.0,7405720463.0,7898692737.0,11434940264.0,3772811781.0
2021-01-31,42561665651.0,0.0,0.0,3466225375.0,180043635.0,4323234055.0,1826044420.0,2188762963.0,0.0,3368481.0,1284296847.0,0.0,558477659.0,12656416579.0,30.0,2383095903.0,1743654177.0,0.0,743759335.0,0.0,103.0,2440888877.0,3563531007.0,11339801068.0,0.0,2556364556.0,6110464471.0,138093160.0,6412732234.0,2220550752.0,0.0,209070878.0,7513231598.0,9853236972.0,9434660207.0,6993545758.0
2021-07-31,35178512615.0,6368533.0,4485.0,5486617949.0,125839347.0,5468114093.0,2351409801.0,2299692253.0,16.0,1296470.0,1459217972.0,0.0,375866235.0,17360777955.0,8.0,2469048943.0,743433165.0,0.0,1489527418.0,0.0,90.0,2716519265.0,3212567113.0,10848721667.0,5614.0,2020460012.0,7993327167.0,169258358.0,3669272833.0,2807665143.0,0.0,202039684.0,6801177914.0,35457409220.0,9630323917.0,10314473106.0
2022-01-31,16426138073.0,40056719.0,8655.0,5282690904.0,166457204.0,6351144338.0,2670777903.0,2700880454.0,58.0,34935.0,2120088404.0,0.0,351686586.0,11686101558.0,9.0,3504760336.0,626444999.0,81688379.0,204823778987.0,0.0,272.0,4737463101.0,2087476317.0,6947163617.0,806281.0,880323850.0,7800459786.0,128687214.0,2694669260.0,2466706199.0,892011156.0,139202157.0,5828221846.0,40073302731.0,16388220095.0,12576678345.0
2022-07-31,16205709088.0,77224257.0,12108.0,5403677145.0,203345134.0,7706910912.0,2908996382.0,1585453695.0,66.0,68192.0,1958508188.0,0.0,1242528940.0,10527858153.0,69.0,2555150563.0,522171016.0,96177808.0,148042711054.0,0.0,3541754.0,1744737656.0,1705727104.0,5294001706.0,227479.0,1785712776.0,6732974397.0,138171312.0,5421754165.0,2334199922.0,843384208.0,164388187.0,5414615798.0,17229131469.0,6559659186.0,8226279008.0
2023-01-31,26617192361.0,295278.0,121936.0,5397107622.0,352411757.0,5010568824.0,2938699272.0,1289804973.0,59.0,104359.0,1791247714.0,0.0,298334924.0,10417829735.0,32.0,2240676393.0,474172529.0,165468263.0,4001087733.0,797313.0,8153296.0,1193298499.0,724765793.0,7156958905.0,0.0,3559488129.0,4967692033.0,444083309.0,3500141196.0,2484574718.0,947585392.0,149705186.0,5356910369.0,12906869214.0,8815071587.0,7332334341.0
2023-07-31,19117499573.0,914948.0,161110.0,4088546244.0,312161181.0,4993892399.0,3236800278.0,1945134705.0,0.0,107076.0,2060364048.0,0.0,776700623.0,12344227004.0,7.0,3449065178.0,518427025.0,327129085.0,8067933107.0,948829.0,28325355.0,2772820133.0,0.0,9405679669.0,0.0,1473318824.0,8105199875.0,621892771.0,7749354989.0,1951219065.0,1495555466.0,186524702.0,5200087662.0,8558443953.0,9054419469.0,7307290272.0
2024-01-31,19733627877.0,1551631.0,304094653.0,4578794645.0,244855782.0,5682182358.0,3145088695.0,9698205328.0,890879.0,16444926.0,1786236841.0,0.0,1342886374.0,15041120558.0,0.0,5239758508.0,550788295.0,944692159.0,7946310843.0,5702518.0,225173026.0,18146449002.0,0.0,8663583532.0,0.0,1943929863.0,12564134253.0,859394048.0,5889162019.0,1922179008.0,2158447056.0,548112366.0,5223575152.0,7627736997.0,8969035747.0,8933910526.0
2024-07-31,29230520438.0,2471764.0,309123025.0,4827807592.0,411090498.0,6189544902.0,2995588787.0,13679101972.0,3858109.0,102567954.0,2129435903.0,0.0,1358119996.0,16944360214.0,85646.0,13787788648.0,142132198.0,1321556424.0,7245395874.0,8185307.0,333526260.0,8415283326.0,0.0,8091607463.0,0.0,2039269866.0,11265502397.0,655446768.0,7180929802.0,3253494712.0,2127145765.0,721845818.0,6131486955.0,9106831803.0,13569163973.0,14837150047.0
2025-01-31,23841365482.0,6720321.0,440320856.0,5809188706.0,629941365.0,5619095907.0,3106395713.0,2698807013.0,1130868.0,78627315.0,2482397925.0,0.0,2058522522.0,60216198100.0,39286003.0,11313883372.0,113878667.0,2450887311.0,13720848058.0,2991286.0,1295334738.0,4375179311.0,0.0,8101509735.0,0.0,2427143232.0,8625985118.0,468255319.0,6002719669.0,2533290881.0,2174555273.0,718358195.0,5955492158.0,9871512471.0,10848464952.0,11116142845.0
2025-07-31,2008937138.0,8881299.0,76061615.0,871111893.0,132642288.0,1170575117.0,486070500.0,439441834.0,348341.0,11054632.0,381156343.0,0.0,353378674.0,2808327789.0,40183390.0,2317668293.0,15324758.0,514327669.0,2079210489.0,55371.0,161394130.0,1148997218.0,0.0,1610217172.0,0.0,350623839.0,1194764903.0,64143832.0,917807423.0,346167328.0,303849615.0,88349801.0,565966084.0,2382038841.0,1532924509.0,1347068330.0
